hour,temperature,precipitation,windspeed,humidity,visibility,ozone,pm10,pm2.5,count
5,,no,0.3,78.0,1521.0,0.021,28.0,28.0,8
22,20.2,no,2.8,54.0,2000.0,0.022000000000000002,28.0,21.0,195
11,24.4,no,1.9,41.0,1362.0,0.035,48.0,27.0,90
11,15.0,no,1.4,50.0,1517.0,0.03,48.0,24.0,86
2,13.6,no,1.7,80.0,1073.0,0.027000000000000003,34.0,15.0,39
10,,no,1.4,54.0,990.0,0.016,35.0,23.0,90
0,18.8,no,2.5,51.0,1638.0,0.051,51.0,35.0,106
8,13.3,no,0.6,66.0,1144.0,0.006,41.0,28.0,217
20,16.1,no,4.3,24.0,2000.0,0.045,47.0,15.0,169
14,,no,4.9,52.0,1331.0,0.063,53.0,28.0,130
10,8.7,no,0.6,,1949.0,0.018000000000000002,21.0,20.0,61
15,21.9,no,5.4,21.0,1907.0,0.062,92.0,19.0,139
4,,yes,3.4,98.0,137.0,0.04,24.0,24.0,2
8,11.6,no,2.0,,1143.0,0.01,64.0,51.0,35
11,20.3,no,2.4,69.0,670.0,0.054000000000000006,58.0,38.0,85
17,19.5,no,2.6,54.0,579.0,0.059000000000000004,66.0,51.0,195
9,11.4,no,0.7,59.0,1297.0,0.021,45.0,25.0,119
23,,no,1.4,47.0,2000.0,0.046,45.0,23.0,114
15,21.2,no,3.7,12.0,2000.0,0.047,23.0,12.0,133
18,,no,3.1,56.0,1804.0,0.05,47.0,26.0,297
8,,no,0.9,77.0,613.0,0.005,82.0,40.0,35
14,19.2,no,4.0,16.0,1935.0,0.048,24.0,13.0,149
4,17.8,no,1.8,91.0,328.0,0.013000000000000001,25.0,22.0,9
0,,no,2.2,61.0,2000.0,0.036000000000000004,44.0,17.0,63
6,10.4,no,1.7,50.0,1976.0,0.024,94.0,27.0,30
9,16.4,no,1.0,62.0,503.0,0.07200000000000001,86.0,51.0,57
2,6.4,no,0.9,58.0,1039.0,0.031,72.0,56.0,3
19,10.8,yes,3.9,92.0,250.0,0.032,34.0,28.0,1
8,8.6,no,2.0,89.0,223.0,0.01,74.0,64.0,34
4,10.1,no,1.6,73.0,937.0,0.04,50.0,22.0,12
7,8.6,no,1.0,85.0,490.0,0.004,75.0,38.0,24
21,,no,0.8,47.0,715.0,0.092,100.0,56.0,229
8,12.9,no,2.1,86.0,443.0,0.013999999999999999,56.0,38.0,48
2,,no,2.5,45.0,2000.0,0.037000000000000005,32.0,25.0,21
21,19.2,no,4.1,,2000.0,0.051,38.0,20.0,166
9,,no,3.0,99.0,165.0,0.023,25.0,22.0,52
9,15.0,yes,1.4,94.0,361.0,0.018000000000000002,47.0,27.0,111
6,14.0,no,0.7,51.0,2000.0,0.013000000000000001,42.0,26.0,33
23,7.3,no,3.3,66.0,2000.0,0.040999999999999995,27.0,23.0,53
22,,no,1.7,52.0,994.0,0.049,72.0,64.0,60
15,23.1,no,4.3,23.0,1798.0,0.064,54.0,29.0,266
20,23.6,no,4.0,60.0,1082.0,0.078,61.0,37.0,247
9,14.7,no,2.0,68.0,589.0,0.01,65.0,44.0,60
8,13.5,no,0.8,78.0,972.0,0.024,36.0,19.0,189
7,15.8,no,2.0,73.0,776.0,0.036000000000000004,30.0,23.0,109
3,10.7,yes,3.3,56.0,1392.0,0.032,103.0,23.0,12
0,12.3,no,3.7,35.0,2000.0,0.037000000000000005,34.0,17.0,66
20,22.7,no,4.0,36.0,2000.0,0.055,29.0,19.0,238
15,,no,1.7,23.0,1661.0,0.076,75.0,33.0,218
3,19.1,no,0.9,79.0,489.0,0.04,67.0,39.0,20
16,18.5,no,4.2,38.0,1546.0,0.051,80.0,23.0,138
11,20.1,no,2.6,49.0,1273.0,0.023,51.0,33.0,87
14,,no,2.7,22.0,2000.0,0.049,45.0,19.0,235
12,13.1,no,3.1,48.0,1012.0,0.016,70.0,57.0,22
21,12.5,no,4.0,73.0,1264.0,0.051,57.0,27.0,91
12,18.6,no,3.2,56.0,1276.0,0.05,51.0,24.0,120
3,13.3,no,0.6,72.0,1879.0,0.006,36.0,19.0,22
10,17.2,no,0.8,56.0,648.0,0.018000000000000002,67.0,48.0,75
15,19.2,no,5.4,23.0,2000.0,0.049,42.0,13.0,121
21,22.1,no,2.6,56.0,2000.0,0.027999999999999997,30.0,21.0,222
3,13.2,no,2.5,25.0,950.0,0.040999999999999995,269.0,21.0,16
9,,no,0.9,72.0,522.0,0.053,61.0,37.0,137
6,13.4,no,1.9,78.0,815.0,0.02,53.0,26.0,36
6,11.3,no,2.0,51.0,1577.0,0.039,93.0,25.0,27
6,15.1,no,0.3,88.0,415.0,0.05,60.0,34.0,14
11,,no,2.3,34.0,1911.0,0.042,44.0,25.0,95
7,19.5,no,3.3,67.0,620.0,0.06,73.0,47.0,90
16,18.7,no,4.9,36.0,1036.0,0.048,197.0,22.0,74
20,21.5,no,1.0,33.0,2000.0,0.049,60.0,32.0,201
23,13.2,no,4.6,22.0,2000.0,0.038,68.0,17.0,71
7,7.0,no,1.0,57.0,835.0,0.004,79.0,69.0,71
10,12.7,no,0.9,52.0,1566.0,0.021,53.0,25.0,64
15,21.1,no,6.0,19.0,1957.0,0.07200000000000001,35.0,17.0,348
2,,no,1.0,78.0,1947.0,0.026000000000000002,30.0,27.0,16
9,6.4,no,0.6,62.0,453.0,0.02,90.0,79.0,87
21,18.8,no,4.6,,2000.0,0.039,32.0,20.0,189
22,17.2,no,2.6,55.0,1851.0,0.047,52.0,33.0,139
5,14.7,no,0.2,48.0,2000.0,0.023,28.0,20.0,19
4,,no,2.4,64.0,1470.0,0.038,77.0,21.0,29
18,25.9,no,4.5,31.0,2000.0,0.079,54.0,29.0,366
6,10.4,no,3.6,12.0,2000.0,0.048,35.0,9.0,23
14,,no,2.7,56.0,524.0,0.025,72.0,59.0,203
2,19.0,no,2.2,78.0,759.0,0.06,50.0,33.0,20
15,,no,3.4,36.0,2000.0,0.057,24.0,17.0,123
19,14.6,no,3.0,76.0,1996.0,0.045,25.0,22.0,147
4,,no,1.7,,669.0,0.02,103.0,62.0,20
11,11.7,no,2.0,47.0,513.0,0.031,95.0,86.0,55
5,9.5,no,0.5,49.0,2000.0,0.027000000000000003,26.0,19.0,11
14,25.0,no,3.1,44.0,1989.0,0.053,27.0,17.0,161
20,17.1,no,2.4,61.0,2000.0,0.036000000000000004,23.0,11.0,210
11,18.4,no,0.9,57.0,1437.0,0.027000000000000003,39.0,21.0,78
3,5.7,no,0.8,74.0,2000.0,0.032,12.0,13.0,21
7,11.4,no,0.8,35.0,1100.0,0.022000000000000002,64.0,55.0,31
10,18.2,no,1.0,52.0,1126.0,0.01,51.0,28.0,96
19,17.8,no,3.6,53.0,746.0,0.04,83.0,47.0,204
18,17.4,no,4.1,,2000.0,0.044000000000000004,56.0,23.0,303
4,16.0,no,0.1,52.0,1162.0,0.040999999999999995,68.0,41.0,15
18,22.1,no,3.0,41.0,1921.0,0.062,54.0,33.0,234
22,,no,1.7,,459.0,0.006,40.0,40.0,112
19,18.5,no,4.5,27.0,2000.0,0.061,48.0,20.0,191
9,,no,1.9,42.0,1946.0,0.01,41.0,26.0,106
16,,no,2.3,43.0,951.0,0.057,145.0,43.0,8
8,16.1,no,1.0,,945.0,0.024,54.0,35.0,54
14,27.2,no,2.0,36.0,1299.0,0.040999999999999995,51.0,31.0,118
14,14.2,no,3.1,27.0,1564.0,0.053,49.0,46.0,186
23,13.9,no,3.3,43.0,2000.0,0.042,23.0,19.0,57
7,,no,0.9,55.0,2000.0,0.040999999999999995,34.0,17.0,100
11,23.4,no,1.8,58.0,690.0,0.057,64.0,40.0,95
23,18.0,no,1.7,34.0,2000.0,0.043,27.0,18.0,186
6,14.4,no,1.5,,2000.0,0.018000000000000002,30.0,21.0,19
21,21.5,no,2.9,44.0,1970.0,0.063,52.0,33.0,239
18,19.8,no,3.0,66.0,805.0,0.063,67.0,42.0,266
3,10.4,no,0.6,42.0,2000.0,0.033,30.0,21.0,8
16,19.2,no,3.5,,2000.0,0.044000000000000004,32.0,16.0,137
14,27.2,no,4.7,,1866.0,0.068,47.0,27.0,107
17,,no,5.8,,1935.0,0.062,62.0,16.0,148
10,,no,1.4,,1364.0,0.039,47.0,29.0,92
18,18.0,yes,1.9,82.0,685.0,0.044000000000000004,99.0,42.0,15
9,,no,1.2,57.0,906.0,0.016,31.0,19.0,124
21,,no,2.7,30.0,2000.0,0.055999999999999994,33.0,21.0,109
23,16.5,no,3.3,39.0,2000.0,0.037000000000000005,29.0,14.0,122
2,,no,0.8,79.0,1918.0,0.018000000000000002,31.0,23.0,28
6,12.7,no,3.9,,2000.0,0.039,13.0,9.0,38
0,16.3,no,4.5,78.0,499.0,0.044000000000000004,84.0,30.0,71
5,6.8,no,1.1,81.0,1450.0,0.031,55.0,21.0,8
2,,no,2.3,34.0,2000.0,0.055,46.0,20.0,43
10,15.4,no,3.1,,1225.0,0.032,199.0,18.0,58
11,17.1,no,2.4,55.0,1982.0,0.035,55.0,12.0,98
4,,no,4.2,,2000.0,0.046,57.0,15.0,9
9,18.5,no,3.8,58.0,975.0,0.037000000000000005,35.0,27.0,133
15,25.6,no,2.1,30.0,1894.0,0.066,44.0,25.0,114
0,18.5,no,0.9,46.0,1848.0,0.008,69.0,44.0,69
8,6.3,no,1.9,76.0,1344.0,0.013000000000000001,61.0,24.0,192
22,,no,2.7,,935.0,0.039,69.0,31.0,123
10,13.8,no,0.3,54.0,889.0,0.013999999999999999,78.0,35.0,78
23,12.1,no,1.0,,1995.0,0.036000000000000004,25.0,23.0,78
15,27.0,no,3.9,43.0,1090.0,0.043,54.0,32.0,133
19,18.9,no,2.8,59.0,1806.0,0.042,49.0,26.0,218
12,,no,2.8,42.0,516.0,0.031,104.0,89.0,82
14,20.0,no,1.9,44.0,930.0,0.034,124.0,39.0,156
13,26.1,no,3.7,29.0,1890.0,0.067,38.0,21.0,173
13,10.3,no,1.4,89.0,599.0,0.022000000000000002,27.0,26.0,55
19,,no,3.7,,2000.0,0.054000000000000006,41.0,23.0,252
2,12.9,no,1.9,71.0,2000.0,0.035,42.0,16.0,22
20,20.1,no,4.2,22.0,1988.0,0.057999999999999996,38.0,20.0,196
10,16.8,no,1.8,62.0,955.0,0.016,55.0,23.0,81
8,,no,3.3,40.0,2000.0,0.032,17.0,9.0,215
20,,no,4.8,29.0,2000.0,0.053,37.0,22.0,200
18,18.1,no,4.1,61.0,2000.0,0.039,27.0,16.0,339
23,19.4,no,0.3,42.0,1368.0,0.07,53.0,31.0,120
2,16.0,no,2.8,55.0,864.0,0.083,87.0,50.0,34
7,17.8,no,1.2,58.0,2000.0,0.012,30.0,22.0,108
2,10.3,no,0.3,76.0,798.0,0.004,83.0,38.0,32
15,,yes,2.5,89.0,1631.0,0.04,30.0,18.0,23
21,16.0,no,6.0,21.0,1961.0,0.05,90.0,28.0,146
4,10.7,no,2.2,45.0,1783.0,0.027000000000000003,102.0,25.0,13
9,12.0,no,3.6,55.0,1999.0,0.016,44.0,29.0,107
6,8.9,no,1.4,53.0,2000.0,0.028999999999999998,28.0,19.0,36
20,11.3,no,3.6,16.0,2000.0,0.040999999999999995,65.0,15.0,84
20,18.5,no,5.3,21.0,2000.0,0.049,47.0,16.0,130
8,,no,1.2,92.0,186.0,0.021,66.0,55.0,36
8,19.0,no,1.4,75.0,537.0,0.049,55.0,33.0,222
20,19.3,no,2.4,,935.0,0.046,176.0,39.0,123
8,16.3,no,1.9,,2000.0,0.027000000000000003,28.0,19.0,37
10,19.1,no,2.4,69.0,682.0,0.039,56.0,33.0,89
16,21.1,no,5.6,21.0,1939.0,0.075,37.0,21.0,382
16,,no,3.4,27.0,2000.0,0.057,30.0,20.0,274
5,7.4,no,1.8,57.0,813.0,0.004,78.0,71.0,12
12,14.7,no,2.3,65.0,399.0,0.017,69.0,59.0,101
13,,yes,2.8,42.0,1518.0,0.03,49.0,37.0,5
21,,no,3.9,66.0,984.0,0.076,64.0,39.0,237
19,22.5,no,4.1,,2000.0,0.044000000000000004,34.0,22.0,228
17,29.8,no,3.9,12.0,2000.0,0.057999999999999996,40.0,11.0,215
17,15.5,no,3.8,26.0,1372.0,0.068,50.0,42.0,199
21,17.0,no,2.4,27.0,2000.0,0.045,44.0,17.0,127
21,,no,0.6,14.0,2000.0,0.027999999999999997,21.0,13.0,194
23,,no,1.3,70.0,738.0,0.036000000000000004,58.0,34.0,141
11,,no,2.2,42.0,1966.0,0.038,44.0,26.0,121
5,11.2,no,2.7,38.0,2000.0,0.043,31.0,27.0,8
16,25.5,no,4.3,36.0,1849.0,0.08,48.0,27.0,143
11,16.9,no,1.8,35.0,1283.0,0.05,61.0,32.0,113
7,14.8,no,1.3,87.0,397.0,0.055,51.0,34.0,26
4,16.1,no,0.6,45.0,1968.0,0.036000000000000004,47.0,26.0,13
13,18.2,no,2.7,,1678.0,0.039,55.0,21.0,138
4,14.9,no,0.4,46.0,2000.0,0.027999999999999997,22.0,16.0,24
12,25.7,no,1.6,44.0,1144.0,0.02,49.0,30.0,119
13,22.3,no,3.7,49.0,1819.0,0.057,38.0,22.0,118
13,15.5,no,1.3,33.0,1716.0,0.018000000000000002,82.0,28.0,80
4,13.1,no,0.4,73.0,1480.0,0.005,33.0,19.0,13
18,20.8,no,3.9,48.0,1966.0,0.045,41.0,21.0,327
16,20.0,no,4.9,24.0,1976.0,0.071,46.0,19.0,162
20,11.4,no,2.5,85.0,716.0,0.033,38.0,26.0,102
4,11.9,no,2.8,85.0,742.0,0.045,57.0,22.0,27
5,11.1,no,0.9,38.0,1718.0,0.064,63.0,38.0,9
21,,no,3.2,52.0,2000.0,0.049,49.0,16.0,126
8,,no,1.6,48.0,1521.0,0.033,102.0,30.0,171
13,,no,2.4,31.0,1893.0,0.034,59.0,32.0,137
18,17.4,no,4.8,44.0,1342.0,0.065,74.0,36.0,215
21,,no,3.4,40.0,2000.0,0.04,33.0,17.0,199
12,24.5,no,3.1,34.0,1839.0,0.044000000000000004,43.0,24.0,150
9,,no,0.8,45.0,965.0,0.005,69.0,58.0,59
7,,no,1.3,93.0,177.0,0.015,71.0,58.0,6
17,19.6,no,5.0,22.0,2000.0,0.047,41.0,16.0,181
6,,no,1.1,69.0,1698.0,0.009000000000000001,35.0,23.0,31
19,,no,2.0,,1403.0,0.055,48.0,24.0,107
19,16.6,no,5.0,25.0,2000.0,0.048,54.0,18.0,199
18,,no,3.3,11.0,2000.0,0.053,17.0,13.0,336
11,13.3,no,1.6,,1569.0,0.018000000000000002,74.0,32.0,84
8,17.0,no,1.2,65.0,986.0,0.021,32.0,22.0,212
15,,no,3.6,45.0,680.0,0.07400000000000001,220.0,51.0,108
7,10.4,no,2.5,44.0,2000.0,0.039,34.0,26.0,81
18,19.7,no,5.7,35.0,2000.0,0.052000000000000005,54.0,17.0,280
2,18.2,no,2.1,64.0,2000.0,0.003,33.0,23.0,40
3,11.3,no,2.0,78.0,548.0,0.008,67.0,58.0,17
19,24.8,no,2.9,32.0,1937.0,0.075,52.0,32.0,244
6,15.5,no,0.4,66.0,465.0,0.013000000000000001,119.0,75.0,28
10,20.7,no,4.1,43.0,1480.0,0.044000000000000004,32.0,21.0,109
12,19.1,no,1.7,,842.0,0.016,68.0,26.0,115
17,23.5,no,2.8,38.0,1893.0,0.067,56.0,30.0,257
22,12.8,no,1.3,72.0,2000.0,0.033,31.0,24.0,133
23,13.4,no,2.1,31.0,2000.0,0.043,26.0,16.0,88
10,11.9,yes,2.4,54.0,935.0,0.005,73.0,61.0,30
11,14.5,no,2.7,41.0,1995.0,0.031,29.0,17.0,78
19,,no,2.6,44.0,1566.0,0.084,59.0,38.0,335
10,,no,3.5,,838.0,0.022000000000000002,48.0,35.0,82
17,25.0,no,4.9,37.0,1368.0,0.07,63.0,33.0,229
9,10.1,no,0.4,,1421.0,0.013000000000000001,52.0,24.0,107
16,,no,2.3,39.0,888.0,0.061,63.0,38.0,142
7,10.5,no,2.9,99.0,107.0,0.028999999999999998,29.0,26.0,15
0,15.6,no,2.3,62.0,1433.0,0.023,56.0,36.0,93
3,15.4,no,1.6,77.0,1104.0,0.036000000000000004,23.0,18.0,14
17,19.6,no,4.0,37.0,2000.0,0.054000000000000006,22.0,20.0,247
14,21.4,no,5.7,23.0,1825.0,0.057999999999999996,102.0,18.0,136
10,20.0,no,1.0,32.0,1777.0,0.015,58.0,31.0,95
15,,no,2.5,22.0,859.0,0.099,74.0,38.0,227
8,9.5,no,1.5,72.0,955.0,0.02,47.0,22.0,214
5,18.8,no,1.4,74.0,618.0,0.055,61.0,37.0,18
16,29.6,no,3.6,14.0,2000.0,0.061,49.0,28.0,164
5,11.9,no,0.6,41.0,879.0,0.032,66.0,60.0,10
4,10.5,no,1.2,74.0,739.0,0.03,70.0,32.0,9
14,17.2,no,2.1,,1571.0,0.025,64.0,19.0,83
6,,no,0.7,69.0,857.0,0.040999999999999995,46.0,32.0,23
12,25.0,no,3.1,31.0,1840.0,0.047,48.0,26.0,136
3,7.9,no,1.7,73.0,1827.0,0.034,52.0,21.0,14
8,11.4,no,2.1,,440.0,0.027000000000000003,74.0,42.0,43
13,24.0,no,3.5,49.0,1986.0,0.051,42.0,29.0,119
7,16.0,no,0.6,75.0,1159.0,0.032,27.0,18.0,117
9,20.8,no,2.2,58.0,1095.0,0.039,53.0,30.0,132
20,16.9,no,3.4,63.0,1966.0,0.040999999999999995,46.0,22.0,185
10,,no,3.6,37.0,1462.0,0.04,81.0,38.0,83
15,20.2,no,3.8,75.0,547.0,0.039,65.0,43.0,105
4,14.6,no,0.6,49.0,2000.0,0.013999999999999999,41.0,27.0,19
9,12.4,no,1.6,77.0,550.0,0.028999999999999998,73.0,41.0,74
3,16.3,no,2.4,59.0,792.0,0.018000000000000002,111.0,65.0,25
13,19.0,no,3.2,49.0,2000.0,0.04,55.0,17.0,122
16,,no,3.6,11.0,2000.0,0.05,17.0,13.0,149
19,15.3,no,3.3,40.0,2000.0,0.045,59.0,26.0,188
7,10.9,no,2.0,61.0,973.0,0.027999999999999997,61.0,38.0,85
5,,no,1.0,48.0,2000.0,0.049,30.0,18.0,11
15,19.7,no,4.5,31.0,1795.0,0.065,64.0,39.0,138
13,26.2,no,2.6,38.0,1610.0,0.025,41.0,26.0,91
18,12.1,no,0.9,46.0,2000.0,0.049,24.0,22.0,137
19,15.2,no,3.7,70.0,588.0,0.031,65.0,51.0,124
22,11.0,yes,2.9,95.0,177.0,0.027999999999999997,29.0,29.0,2
23,19.6,no,1.2,,2000.0,0.019,28.0,22.0,131
7,6.4,no,0.7,83.0,1147.0,0.018000000000000002,55.0,21.0,82
3,16.1,no,2.9,,400.0,0.051,60.0,35.0,46
0,15.3,no,1.2,87.0,391.0,0.015,75.0,35.0,91
21,18.6,no,2.3,35.0,987.0,0.031,178.0,37.0,139
10,12.1,no,1.5,47.0,1842.0,0.009000000000000001,90.0,25.0,60
6,9.5,no,0.8,73.0,673.0,0.035,65.0,38.0,15
16,29.0,no,4.1,41.0,1207.0,0.106,72.0,49.0,126
0,,no,1.6,62.0,1976.0,0.033,35.0,29.0,75
13,19.0,no,1.9,,697.0,0.045,87.0,78.0,88
17,19.9,yes,0.9,56.0,1082.0,0.06,109.0,37.0,4
11,12.3,no,4.5,13.0,2000.0,0.036000000000000004,48.0,13.0,82
8,12.6,no,5.3,53.0,1576.0,0.013999999999999999,52.0,40.0,209
2,,no,4.9,33.0,660.0,0.040999999999999995,252.0,31.0,26
4,11.7,no,2.2,38.0,1645.0,0.065,70.0,43.0,15
21,12.8,no,2.8,34.0,1045.0,0.046,77.0,66.0,149
22,17.6,no,2.4,36.0,2000.0,0.038,32.0,12.0,176
8,,no,0.8,80.0,758.0,0.013999999999999999,25.0,20.0,236
23,15.4,no,2.2,33.0,2000.0,0.034,49.0,19.0,85
16,23.4,no,3.6,39.0,1670.0,0.07400000000000001,59.0,40.0,291
15,20.0,no,4.9,35.0,2000.0,0.052000000000000005,68.0,13.0,311
9,17.1,no,3.4,76.0,451.0,0.03,65.0,39.0,74
5,,no,1.3,64.0,2000.0,0.039,37.0,14.0,15
0,16.8,no,0.6,62.0,2000.0,0.028999999999999998,35.0,19.0,94
21,14.7,no,2.9,46.0,1754.0,0.051,88.0,19.0,88
3,16.8,no,1.6,40.0,1994.0,0.046,48.0,25.0,30
22,,no,2.5,66.0,1975.0,0.039,45.0,19.0,201
11,23.5,no,3.0,33.0,1801.0,0.03,50.0,32.0,108
7,17.9,no,1.6,,1420.0,0.028999999999999998,53.0,29.0,26
12,24.0,no,1.5,34.0,838.0,0.037000000000000005,96.0,47.0,94
23,15.2,no,1.4,58.0,2000.0,0.040999999999999995,31.0,16.0,122
12,23.1,no,1.5,34.0,1352.0,0.052000000000000005,78.0,41.0,134
8,18.0,no,0.3,61.0,1373.0,0.021,52.0,28.0,57
13,14.3,no,4.5,14.0,2000.0,0.044000000000000004,61.0,14.0,88
14,20.9,no,5.3,29.0,1599.0,0.055,58.0,23.0,140
8,10.3,no,4.3,43.0,2000.0,0.032,34.0,26.0,195
3,10.3,no,2.4,20.0,2000.0,0.043,64.0,19.0,16
8,,no,0.7,22.0,974.0,0.026000000000000002,214.0,21.0,34
21,,no,2.0,,2000.0,0.049,36.0,22.0,215
21,,no,2.8,66.0,1064.0,0.04,70.0,31.0,127
8,14.2,no,2.1,75.0,768.0,0.013000000000000001,51.0,25.0,226
23,,no,2.7,47.0,1753.0,0.04,53.0,35.0,134
22,13.9,no,1.8,25.0,2000.0,0.035,41.0,18.0,157
13,20.2,no,3.6,32.0,2000.0,0.043,20.0,12.0,107
16,19.0,no,3.0,22.0,1990.0,0.05,55.0,22.0,118
22,20.2,no,2.8,33.0,1945.0,0.079,68.0,36.0,206
20,,no,3.4,29.0,2000.0,0.061,41.0,25.0,135
20,19.7,no,4.3,60.0,1991.0,0.042,35.0,24.0,244
18,18.9,no,4.4,22.0,2000.0,0.046,41.0,18.0,318
2,17.2,no,0.4,,1048.0,0.022000000000000002,162.0,39.0,38
2,17.4,no,1.3,44.0,1319.0,0.023,68.0,41.0,39
16,,no,2.2,24.0,1703.0,0.062,43.0,28.0,130
15,21.3,no,2.2,44.0,1867.0,0.052000000000000005,41.0,24.0,165
17,26.6,no,3.1,33.0,783.0,0.077,115.0,55.0,172
21,9.5,no,2.2,46.0,1139.0,0.055999999999999994,70.0,61.0,73
18,,no,4.8,7.0,2000.0,0.057,27.0,11.0,431
23,15.4,no,1.4,87.0,423.0,0.019,85.0,35.0,87
13,,no,4.9,55.0,1449.0,0.055,53.0,28.0,108
9,19.8,no,0.6,57.0,1721.0,0.008,40.0,29.0,138
6,11.0,no,1.3,,1056.0,0.040999999999999995,213.0,21.0,12
2,17.9,yes,0.1,91.0,383.0,0.004,29.0,26.0,22
6,3.3,no,1.2,83.0,1219.0,0.016,33.0,30.0,7
3,,no,2.5,43.0,2000.0,0.037000000000000005,19.0,9.0,23
7,10.9,no,0.8,77.0,1092.0,0.035,79.0,17.0,18
19,20.2,no,3.0,,928.0,0.057999999999999996,180.0,40.0,187
21,,no,0.1,39.0,2000.0,0.042,60.0,32.0,170
7,3.1,no,0.4,83.0,839.0,0.005,34.0,31.0,14
5,14.3,no,1.0,79.0,1593.0,0.035,30.0,18.0,16
5,9.9,no,0.5,85.0,1082.0,0.018000000000000002,34.0,26.0,12
17,27.6,no,3.5,39.0,1963.0,0.052000000000000005,27.0,17.0,222
9,,no,4.8,38.0,2000.0,0.028999999999999998,19.0,11.0,149
9,,no,1.8,72.0,795.0,0.017,26.0,17.0,135
13,15.7,no,3.3,37.0,526.0,0.047,105.0,90.0,75
4,,no,0.2,83.0,1235.0,0.027000000000000003,35.0,24.0,13
0,15.4,no,2.4,,2000.0,0.035,26.0,11.0,80
11,23.3,no,1.2,53.0,1650.0,0.021,29.0,16.0,119
7,,no,0.6,71.0,633.0,0.033,76.0,71.0,76
8,4.5,no,0.1,73.0,510.0,0.023,84.0,81.0,146
21,20.1,no,1.2,,1716.0,0.049,70.0,31.0,187
15,,no,5.1,,990.0,0.099,77.0,49.0,97
14,,no,3.8,23.0,2000.0,0.047,40.0,14.0,113
21,15.5,no,3.2,64.0,1994.0,0.039,40.0,19.0,194
14,28.4,no,1.9,20.0,1346.0,0.08199999999999999,78.0,38.0,179
4,,no,0.6,77.0,1960.0,0.027999999999999997,14.0,18.0,6
4,12.3,no,0.7,49.0,1506.0,0.059000000000000004,103.0,28.0,7
23,21.3,no,2.3,68.0,900.0,0.055999999999999994,65.0,38.0,140
12,,no,2.9,51.0,1870.0,0.037000000000000005,56.0,14.0,122
18,19.4,no,4.5,37.0,1789.0,0.057999999999999996,54.0,31.0,305
19,,no,3.5,47.0,1626.0,0.043,79.0,25.0,205
